Time,Open,High,Low,Close
1709327400,62456,62739.5,62456,62739.5
1709327700,62756.5,62876.5,62661,62661
1709328000,62599,62783,62599,62750
1709328300,62766.5,62782,62712,62775.5
1709328600,62803,62815.5,62682,62682
1709328900,62663.5,62734.5,62657,62672
1709329200,62655,62655,62581,62641
1709329500,62666,62685,62574,62607
1709329800,62622.5,62622.5,62558,62602.5
1709330100,62597.5,62643.5,62541.5,62541.5
1709330400,62527.5,62542,62477.5,62477.5
1709330700,62507,62542,62460.5,62461
1709331000,62517.5,62523,62490,62504.5
1709331300,62492.5,62519,62450.5,62458
1709331600,62450,62678,62432,62678
1709331900,62676,62676,62389.5,62389.5
1709332200,62368,62381.5,62316,62316
1709332500,62356,62458.5,62356,62442.5
1709332800,62388,62461.5,62388,62428.5
1709333100,62381.5,62415.5,62320,62351
1709333400,62339,62440,62339,62388
1709333700,62387.5,62595.5,62379.5,62498.5
1709334000,62571,62629,62490.5,62518
1709334300,62561.5,62578.5,62467,62473.5
1709334600,62534.5,62672.5,62520,62672.5
1709334900,62710.5,62710.5,62598,62613
1709335200,62651,62727,62650.5,62708.5
1709335500,62589.5,62631,62565,62565
1709335800,62568.5,62608.5,62527,62566.5
1709336100,62550.5,62550.5,62366,62402.5
1709336400,62396.5,62405,62361.5,62385
1709336700,62433,62509.5,62425,62443.5
1709337000,62401.5,62508.5,62376.5,62478
1709337300,62464.5,62464.5,62396,62406.5
1709337600,62413,62459.5,62378.5,62395
1709337900,62429,62461,62354.5,62373.5
1709338200,62360.5,62370.5,62299.5,62370.5
1709338500,62326,62326,62249.5,62323
1709338800,62313.5,62404.5,62313.5,62365.5
1709339100,62341,62369.5,62330,62330
1709339400,62303,62370,62256,62256
1709339700,62299.5,62299.5,62237,62249
1709340000,62243.5,62245.5,62220,62222.5
1709340300,62205.5,62284.5,62139.5,62280
1709340600,62252.5,62288.5,62200.5,62288.5
1709340900,62295.5,62349.5,62295.5,62341.5
1709341200,62307,62307,62257.5,62257.5
1709341500,62290,62322.5,62176,62176
1709341800,62150,62150,62080,62080
1709342100,62075.5,62189.5,62060,62060
1709342400,62068,62068,62002,62006
1709342700,61968.5,62179,61968.5,62178
1709343000,62168,62248,62168,62171.5
1709343300,62156.5,62185.5,62142.5,62152
1709343600,62148,62239.5,62148,62170
1709343900,62182.5,62224.5,62162,62162
1709344200,62145,62145,62064.5,62082
1709344500,62081.5,62081.5,62053,62063.5
1709344800,62057.5,62220,62054.5,62069
1709345100,61998.5,62073.5,61998.5,62047.5
1709345400,62009.5,62064,61999,62064
1709345700,62029,62095,61991,62070
1709346000,62050,62133,62031.5,62133
1709346300,62129.5,62180.5,62098.5,62112.5
1709346600,62123,62225.5,62123,62169.5
1709346900,62182.5,62201.5,62086,62086
1709347200,62086.5,62090,62035,62073
1709347500,62086.5,62126,62051,62126
1709347800,62086.5,62158.5,62057.5,62157.5
1709348100,62156,62178,62135,62148.5
1709348400,62154,62272,62123.5,62255.5
1709348700,62225,62225,62118.5,62145.5
1709349000,62123,62125.5,62068,62102.5
1709349300,62102.5,62139.5,62055,62116.5
1709349600,62087.5,62179,62087.5,62179
1709349900,62186.5,62195,62156.5,62168
1709350200,62179.5,62381.5,62179.5,62381.5
1709350500,62387.5,62442.5,62332,62338
1709350800,62349.5,62428,62309,62344.5
1709351100,62359.5,62378,62291,62309.5
1709351400,62286,62317.5,62240,62260.5
1709351700,62262.5,62356,62262.5,62346.5
1709352000,62294.5,62294.5,62243.5,62243.5
1709352300,62230,62296.5,62230,62239.5
1709352600,62243,62243,62181,62194
1709352900,62253.5,62301.5,62169.5,62169.5
1709353200,62176.5,62222.5,62131.5,62135
1709353500,62141.5,62195,62140.5,62168
1709353800,62154,62205.5,62154,62205.5
1709354100,62239.5,62297.5,62205.5,62297.5
1709354400,62299,62313,62212,62212
1709354700,62198,62235.5,62188,62235
1709355000,62262.5,62262.5,62130.5,62130.5
1709355300,62136.5,62136.5,62077.5,62077.5
1709355600,62045,62119.5,62045,62047.5
1709355900,62053,62086.5,62019,62073.5
1709356200,62070,62070,61988.5,61988.5
1709356500,61988.5,61988.5,61816.5,61844
1709356800,61906,61960.5,61857,61925
1709357100,61949,62072,61949,61984.5
1709357400,61971,61972,61894,61895.5
1709357700,61893.5,61975.5,61893.5,61957
1709358000,62004.5,62013,61965,61965
1709358300,61960,62019,61939.5,62006.5
1709358600,62020.5,62043.5,61981.5,61982
1709358900,61984,62051.5,61976.5,62051.5
1709359200,62037,62075.5,62017,62075.5
1709359500,62076,62076,62013.5,62035.5
1709359800,62053,62090.5,62038,62089.5
1709360100,62119,62288.5,62119,62242.5
1709360400,62231,62305.5,62191.5,62219
1709360700,62224,62286.5,62192,62268.5
1709361000,62284,62284,62164.5,62184.5
1709361300,62202,62216.5,62143,62176.5
1709361600,62176,62176,62112,62154.5
1709361900,62132,62202.5,62110,62111.5
1709362200,62106,62140.5,62067.5,62088.5
1709362500,62104.5,62104.5,61998.5,61998.5
1709362800,62020.5,62034,61955.5,61955.5
1709363100,61940,61986,61916.5,61981
1709363400,61896,61967.5,61856.5,61931.5
1709363700,61918,62006,61906,62006
1709364000,61975.5,62011.5,61942,62004.5
1709364300,61965,61976.5,61923.5,61923.5
1709364600,61923,61948,61905.5,61932
1709364900,61941,61974.5,61908.5,61972
1709365200,61970,62004,61938,62004
1709365500,62002.5,62013.5,61945.5,61975
1709365800,61976,62086.5,61975.5,62086.5
1709366100,62086.5,62086.5,62038,62054.5
1709366400,62054.5,62118,62050.5,62074.5
1709366700,62071.5,62071.5,61970.5,61978
1709367000,61989,61989,61958,61962
1709367300,61975,62010.5,61958,61958
1709367600,61959,61963.5,61833,61833
1709367900,61876.5,61959,61855.5,61955.5
1709368200,61906.5,62013.5,61884.5,62011
1709368500,62008,62073,62000,62043.5
1709368800,62050,62126.5,62039,62126.5
1709369100,62136,62162,62084,62103.5
1709369400,62096.5,62101.5,62034,62034
1709369700,62056,62056,61983,61995
1709370000,62005.5,62011.5,61932.5,61984.5
1709370300,61964.5,61981.5,61955,61969
1709370600,61958,62021,61958,62003.5
1709370900,61966.5,61972.5,61873.5,61896.5
1709371200,61926.5,61926.5,61870.5,61879
1709371500,61872.5,61958,61872.5,61901
1709371800,61886,61902.5,61714,61811.5
1709372100,61788,61803,61720,61801
1709372400,61815,61815,61731.5,61789.5
1709372700,61768,61953,61753.5,61921.5
1709373000,61933,61933,61776.5,61858
1709373300,61864.5,61876,61812.5,61857
1709373600,61892,62010,61867.5,61984.5
1709373900,62010.5,62050.5,61945.5,61983.5
1709374200,62000,62017,61952,62001
1709374500,61964.5,62053.5,61951.5,62053.5
1709374800,62035,62048,62008,62033.5
1709375100,62035.5,62035.5,61967.5,61987.5
1709375400,62009,62070,62009,62070
1709375700,62056,62058.5,61971.5,61971.5
1709376000,61976.5,62040.5,61976,62040.5
1709376300,61998,61998,61907,61907
1709376600,61921,61944.5,61895.5,61895.5
1709376900,61902.5,61940,61856,61936
1709377200,61948.5,62086,61948.5,62068.5
1709377500,62076.5,62091,62061,62089.5
1709377800,62079.5,62081.5,62007,62029
1709378100,62045.5,62085.5,61998.5,61998.5
1709378400,61972,61981.5,61931.5,61942.5
1709378700,61925.5,61983.5,61904,61983.5
1709379000,61995.5,61995.5,61896.5,61923.5
1709379300,61937.5,61941.5,61912,61937.5
1709379600,61924.5,62013.5,61917,62007
